key	primaryKey	internalId	type	provider	dependencyKey
blackplayervariationshared_assets__efdf5812c88c6bca567bd93d07db0c3d.bundle	blackplayervariationshared_assets__efdf5812c88c6bca567bd93d07db0c3d.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\blackplayervariationshared_assets__efdf5812c88c6bca567bd93d07db0c3d.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
bloodsplashwdecal_assets_bloodsplashwdecal_120b520a0a72b9ecb0b1d94d5d8ee6a6.bundle	bloodsplashwdecal_assets_bloodsplashwdecal_120b520a0a72b9ecb0b1d94d5d8ee6a6.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\bloodsplashwdecal_assets_bloodsplashwdecal_120b520a0a72b9ecb0b1d94d5d8ee6a6.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
bloodsplashwdecal_assets_bloodsplashwdecalcolor_81b8eedf5b02651c7e1e5c1dadeb2a9a.bundle	bloodsplashwdecal_assets_bloodsplashwdecalcolor_81b8eedf5b02651c7e1e5c1dadeb2a9a.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\bloodsplashwdecal_assets_bloodsplashwdecalcolor_81b8eedf5b02651c7e1e5c1dadeb2a9a.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
bloodsplashwdecal_assets_bloodsplashwdecalnormal_9d12709ba56fab196ba55204a114531d.bundle	bloodsplashwdecal_assets_bloodsplashwdecalnormal_9d12709ba56fab196ba55204a114531d.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\bloodsplashwdecal_assets_bloodsplashwdecalnormal_9d12709ba56fab196ba55204a114531d.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
bloodsplashwvats_assets_bloodsplashw_eeeb38b8b92153d92ce044d83811825f.bundle	bloodsplashwvats_assets_bloodsplashw_eeeb38b8b92153d92ce044d83811825f.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\bloodsplashwvats_assets_bloodsplashw_eeeb38b8b92153d92ce044d83811825f.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
bloodsplashwvats_assets_bloodsplashw1_e426742fbdb383e6c3e5d85b418d3ea7.bundle	bloodsplashwvats_assets_bloodsplashw1_e426742fbdb383e6c3e5d85b418d3ea7.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\bloodsplashwvats_assets_bloodsplashw1_e426742fbdb383e6c3e5d85b418d3ea7.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
bloodsplashwvats_assets_bloodsplashwnormal_3631cadf6140f760b8e2d5065b040945.bundle	bloodsplashwvats_assets_bloodsplashwnormal_3631cadf6140f760b8e2d5065b040945.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\bloodsplashwvats_assets_bloodsplashwnormal_3631cadf6140f760b8e2d5065b040945.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
bloodsplashwvats_assets_bloodsplashwposition_544e2bbe7dd0f5aa500381c25aa6b543.bundle	bloodsplashwvats_assets_bloodsplashwposition_544e2bbe7dd0f5aa500381c25aa6b543.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\bloodsplashwvats_assets_bloodsplashwposition_544e2bbe7dd0f5aa500381c25aa6b543.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
bloodsplashxdecal_assets_bloodsplashxdecal_cd4d0e6b22c783ef31823cee89e507ed.bundle	bloodsplashxdecal_assets_bloodsplashxdecal_cd4d0e6b22c783ef31823cee89e507ed.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\bloodsplashxdecal_assets_bloodsplashxdecal_cd4d0e6b22c783ef31823cee89e507ed.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
bloodsplashxdecal_assets_bloodsplashxdecalcolor_397be236e0883126e9bd4bc066e07389.bundle	bloodsplashxdecal_assets_bloodsplashxdecalcolor_397be236e0883126e9bd4bc066e07389.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\bloodsplashxdecal_assets_bloodsplashxdecalcolor_397be236e0883126e9bd4bc066e07389.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
bloodsplashxdecal_assets_bloodsplashxdecalnormal_554bc53e5a8eeb126e502b17d27c6af4.bundle	bloodsplashxdecal_assets_bloodsplashxdecalnormal_554bc53e5a8eeb126e502b17d27c6af4.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\bloodsplashxdecal_assets_bloodsplashxdecalnormal_554bc53e5a8eeb126e502b17d27c6af4.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
bloodsplashxvats_assets_bloodsplashx_660f2f6201932a3e5b6450917d183d91.bundle	bloodsplashxvats_assets_bloodsplashx_660f2f6201932a3e5b6450917d183d91.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\bloodsplashxvats_assets_bloodsplashx_660f2f6201932a3e5b6450917d183d91.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
bloodsplashxvats_assets_bloodsplashx1_05dab9fb850db93dcbca3470dfca1891.bundle	bloodsplashxvats_assets_bloodsplashx1_05dab9fb850db93dcbca3470dfca1891.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\bloodsplashxvats_assets_bloodsplashx1_05dab9fb850db93dcbca3470dfca1891.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
bloodsplashxvats_assets_bloodsplashxnormal_1153b31a03555f14f7bc7fdcddc9837b.bundle	bloodsplashxvats_assets_bloodsplashxnormal_1153b31a03555f14f7bc7fdcddc9837b.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\bloodsplashxvats_assets_bloodsplashxnormal_1153b31a03555f14f7bc7fdcddc9837b.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
bloodsplashxvats_assets_bloodsplashxposition_1424bdc2bfa459a1db02d572cf4e78f4.bundle	bloodsplashxvats_assets_bloodsplashxposition_1424bdc2bfa459a1db02d572cf4e78f4.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\bloodsplashxvats_assets_bloodsplashxposition_1424bdc2bfa459a1db02d572cf4e78f4.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
bloodsplashydecal_assets_bloodsplashydecal_b28cd3a4c551925c6587e2e3d6572db3.bundle	bloodsplashydecal_assets_bloodsplashydecal_b28cd3a4c551925c6587e2e3d6572db3.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\bloodsplashydecal_assets_bloodsplashydecal_b28cd3a4c551925c6587e2e3d6572db3.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
bloodsplashydecal_assets_bloodsplashydecalcolor_1994b3e68ab8c570f920ed1f9ebc3c14.bundle	bloodsplashydecal_assets_bloodsplashydecalcolor_1994b3e68ab8c570f920ed1f9ebc3c14.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\bloodsplashydecal_assets_bloodsplashydecalcolor_1994b3e68ab8c570f920ed1f9ebc3c14.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
bloodsplashydecal_assets_bloodsplashydecalnormal_075f66955b9c9cda4fa05f862d15664e.bundle	bloodsplashydecal_assets_bloodsplashydecalnormal_075f66955b9c9cda4fa05f862d15664e.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\bloodsplashydecal_assets_bloodsplashydecalnormal_075f66955b9c9cda4fa05f862d15664e.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
bloodsplashyvats_assets_bloodsplashy_f2f765727e38c488a5787e1555d6e423.bundle	bloodsplashyvats_assets_bloodsplashy_f2f765727e38c488a5787e1555d6e423.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\bloodsplashyvats_assets_bloodsplashy_f2f765727e38c488a5787e1555d6e423.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
bloodsplashyvats_assets_bloodsplashy1_0efd79740b42b2b6e84caed12e198df7.bundle	bloodsplashyvats_assets_bloodsplashy1_0efd79740b42b2b6e84caed12e198df7.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\bloodsplashyvats_assets_bloodsplashy1_0efd79740b42b2b6e84caed12e198df7.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
bloodsplashyvats_assets_bloodsplashynormal_04b8207d086ced049345eb45fda54337.bundle	bloodsplashyvats_assets_bloodsplashynormal_04b8207d086ced049345eb45fda54337.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\bloodsplashyvats_assets_bloodsplashynormal_04b8207d086ced049345eb45fda54337.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
bloodsplashyvats_assets_bloodsplashyposition_f26c207f04165a848353f940da7db4c5.bundle	bloodsplashyvats_assets_bloodsplashyposition_f26c207f04165a848353f940da7db4c5.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\bloodsplashyvats_assets_bloodsplashyposition_f26c207f04165a848353f940da7db4c5.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
bossmutantintrocutscene_assets__433aefd2d64f37fce0a0dec5cd9aea48.bundle	bossmutantintrocutscene_assets__433aefd2d64f37fce0a0dec5cd9aea48.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\bossmutantintrocutscene_assets__433aefd2d64f37fce0a0dec5cd9aea48.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
bunkershared_assets__f5cc5ed58a3fdc77d0d4b3bd91182231.bundle	bunkershared_assets__f5cc5ed58a3fdc77d0d4b3bd91182231.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\bunkershared_assets__f5cc5ed58a3fdc77d0d4b3bd91182231.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
burntskeletonshared_assets__b92a0341d11e45c5ebc245969e39d6c3.bundle	burntskeletonshared_assets__b92a0341d11e45c5ebc245969e39d6c3.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\burntskeletonshared_assets__b92a0341d11e45c5ebc245969e39d6c3.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
cannibalheadshared_assets_all_cc7d7a634fdb4a26cc68aef978f98c25.bundle	cannibalheadshared_assets_all_cc7d7a634fdb4a26cc68aef978f98c25.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\cannibalheadshared_assets_all_cc7d7a634fdb4a26cc68aef978f98c25.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
cannibalvillages_assets__26861b3118043faa57d31973d79b5778.bundle	cannibalvillages_assets__26861b3118043faa57d31973d79b5778.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\cannibalvillages_assets__26861b3118043faa57d31973d79b5778.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
caves_assets_cavea_75a78807ba019f735d278801476a7728.bundle	caves_assets_cavea_75a78807ba019f735d278801476a7728.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\caves_assets_cavea_75a78807ba019f735d278801476a7728.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
caves_assets_caveb_e7991b0896af76887c30e831654fbb73.bundle	caves_assets_caveb_e7991b0896af76887c30e831654fbb73.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\caves_assets_caveb_e7991b0896af76887c30e831654fbb73.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
caves_assets_cavec_15b4f2d8ba227d742a29f02388614483.bundle	caves_assets_cavec_15b4f2d8ba227d742a29f02388614483.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\caves_assets_cavec_15b4f2d8ba227d742a29f02388614483.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
caves_assets_caved_3898ca7f473796a0e1d0d60ae15c2626.bundle	caves_assets_caved_3898ca7f473796a0e1d0d60ae15c2626.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\caves_assets_caved_3898ca7f473796a0e1d0d60ae15c2626.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
caves_assets_cavee_b7bce1b292447847ad4b2209c0c3b63f.bundle	caves_assets_cavee_b7bce1b292447847ad4b2209c0c3b63f.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\caves_assets_cavee_b7bce1b292447847ad4b2209c0c3b63f.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
caves_assets_cavef_246438d77dc0b84bc53cc6fba6d975db.bundle	caves_assets_cavef_246438d77dc0b84bc53cc6fba6d975db.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\caves_assets_cavef_246438d77dc0b84bc53cc6fba6d975db.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
caves_assets_caveg_1a381b2cf683a7a517fe405d8f74a7ea.bundle	caves_assets_caveg_1a381b2cf683a7a517fe405d8f74a7ea.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\caves_assets_caveg_1a381b2cf683a7a517fe405d8f74a7ea.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
cavesshared_assets_all_7acf92355dc62f7fe99d699a562ce7e2.bundle	cavesshared_assets_all_7acf92355dc62f7fe99d699a562ce7e2.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\cavesshared_assets_all_7acf92355dc62f7fe99d699a562ce7e2.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
chopperleaveislandcutscene_assets__4bf5db8a73d934f931e9c8065a22a977.bundle	chopperleaveislandcutscene_assets__4bf5db8a73d934f931e9c8065a22a977.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\chopperleaveislandcutscene_assets__4bf5db8a73d934f931e9c8065a22a977.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
cultists_assets__197fb275d7abe40430e94d6b2c4b2e44.bundle	cultists_assets__197fb275d7abe40430e94d6b2c4b2e44.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\cultists_assets__197fb275d7abe40430e94d6b2c4b2e44.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
cutscenehelicopter_assets__895878ea61c3672e7fe8f99269c5c8c8.bundle	cutscenehelicopter_assets__895878ea61c3672e7fe8f99269c5c8c8.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\cutscenehelicopter_assets__895878ea61c3672e7fe8f99269c5c8c8.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
defaultlocalgroup_assets_cannibaltotems_308b55f1ea868ba462eee054bfa378ca.bundle	defaultlocalgroup_assets_cannibaltotems_308b55f1ea868ba462eee054bfa378ca.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\defaultlocalgroup_assets_cannibaltotems_308b55f1ea868ba462eee054bfa378ca.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
defaultlocalgroup_assets_fatfemalecannibal_de285d0a399ecd94c51318f4cabd69c5.bundle	defaultlocalgroup_assets_fatfemalecannibal_de285d0a399ecd94c51318f4cabd69c5.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\defaultlocalgroup_assets_fatfemalecannibal_de285d0a399ecd94c51318f4cabd69c5.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
defaultlocalgroup_assets_golfcart_103bf192b567a5c5a6f1c51879d130b3.bundle	defaultlocalgroup_assets_golfcart_103bf192b567a5c5a6f1c51879d130b3.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\defaultlocalgroup_assets_golfcart_103bf192b567a5c5a6f1c51879d130b3.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
defaultlocalgroup_assets_headfingereffigy_9826550f74a4d74b6b69cd27418a6f14.bundle	defaultlocalgroup_assets_headfingereffigy_9826550f74a4d74b6b69cd27418a6f14.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\defaultlocalgroup_assets_headfingereffigy_9826550f74a4d74b6b69cd27418a6f14.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
defaultlocalgroup_assets_headinchesteffigy_6b866f3285f4b28964eeb218181671a3.bundle	defaultlocalgroup_assets_headinchesteffigy_6b866f3285f4b28964eeb218181671a3.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\defaultlocalgroup_assets_headinchesteffigy_6b866f3285f4b28964eeb218181671a3.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
defaultlocalgroup_assets_headscreameffigy_a324259332ad58563c0f701422f0d4b4.bundle	defaultlocalgroup_assets_headscreameffigy_a324259332ad58563c0f701422f0d4b4.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\defaultlocalgroup_assets_headscreameffigy_a324259332ad58563c0f701422f0d4b4.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
defaultlocalgroup_assets_horsetrailer_c3f5dfd564949060be2b03fa8a9b6343.bundle	defaultlocalgroup_assets_horsetrailer_c3f5dfd564949060be2b03fa8a9b6343.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\defaultlocalgroup_assets_horsetrailer_c3f5dfd564949060be2b03fa8a9b6343.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
defaultlocalgroup_assets_logitem_61e470ff88d3a24ad66defec72f179ce.bundle	defaultlocalgroup_assets_logitem_61e470ff88d3a24ad66defec72f179ce.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\defaultlocalgroup_assets_logitem_61e470ff88d3a24ad66defec72f179ce.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
defaultlocalgroup_assets_spaceship_663bf5213eca6b678ae8ace7e31f5cf4.bundle	defaultlocalgroup_assets_spaceship_663bf5213eca6b678ae8ace7e31f5cf4.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\defaultlocalgroup_assets_spaceship_663bf5213eca6b678ae8ace7e31f5cf4.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
defaultlocalgroup_assets_stew_a62556c667e129a38fa4620f0e0882b5.bundle	defaultlocalgroup_assets_stew_a62556c667e129a38fa4620f0e0882b5.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\defaultlocalgroup_assets_stew_a62556c667e129a38fa4620f0e0882b5.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
defaultlocalgroup_assets_suitcases_8f07c6ad0c8bea0cad45389f366f2113.bundle	defaultlocalgroup_assets_suitcases_8f07c6ad0c8bea0cad45389f366f2113.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\defaultlocalgroup_assets_suitcases_8f07c6ad0c8bea0cad45389f366f2113.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
defaultlocalgroup_assets_tents_98c10d2d6c6c6ab7da09730e43b6917f.bundle	defaultlocalgroup_assets_tents_98c10d2d6c6c6ab7da09730e43b6917f.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\defaultlocalgroup_assets_tents_98c10d2d6c6c6ab7da09730e43b6917f.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
defaultlocalgroup_assets_whales_1ce2421ba9c6c30ea319cda83eee1df8.bundle	defaultlocalgroup_assets_whales_1ce2421ba9c6c30ea319cda83eee1df8.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\defaultlocalgroup_assets_whales_1ce2421ba9c6c30ea319cda83eee1df8.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
diggingdisplacementshared_assets_all_f3403a56c88bfa26ebe29230fd94fca8.bundle	diggingdisplacementshared_assets_all_f3403a56c88bfa26ebe29230fd94fca8.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\diggingdisplacementshared_assets_all_f3403a56c88bfa26ebe29230fd94fca8.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
diggingvatsvfx_assets_grounddirthitaaddressable_1fcc84979fa7884dd9b5a625bb930bef.bundle	diggingvatsvfx_assets_grounddirthitaaddressable_1fcc84979fa7884dd9b5a625bb930bef.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\diggingvatsvfx_assets_grounddirthitaaddressable_1fcc84979fa7884dd9b5a625bb930bef.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
diggingvatsvfx_assets_shoveldiggingdirtchunkaaddressable_46dbd46972d352e998172995396e9c6f.bundle	diggingvatsvfx_assets_shoveldiggingdirtchunkaaddressable_46dbd46972d352e998172995396e9c6f.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\diggingvatsvfx_assets_shoveldiggingdirtchunkaaddressable_46dbd46972d352e998172995396e9c6f.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
